"url	page	""page without timeline""	date"
"https://www.ut.ee/et	http://wayback.archive.org/web/20120716221428id_/http://www.ut.ee/et	http://wayback.archive.org/web/20120716221428/http://www.ut.ee/et	20120716221428"
"https://www.ut.ee/et	http://wayback.archive.org/web/20120720011850id_/http://www.ut.ee:80/et?	http://wayback.archive.org/web/20120720011850/http://www.ut.ee:80/et?	20120720011850"
"https://www.ut.ee/et	http://wayback.archive.org/web/20120722002203id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20120722002203/http://www.ut.ee:80/et	20120722002203"
"https://www.ut.ee/et	http://wayback.archive.org/web/20120731025340id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20120731025340/http://www.ut.ee:80/et	20120731025340"
"https://www.ut.ee/et	http://wayback.archive.org/web/20120814232049id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20120814232049/http://www.ut.ee:80/et	20120814232049"
"https://www.ut.ee/et	http://wayback.archive.org/web/20120819162938id_/http://www.ut.ee:80/et?	http://wayback.archive.org/web/20120819162938/http://www.ut.ee:80/et?	20120819162938"
"https://www.ut.ee/et	http://wayback.archive.org/web/20120824223227id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20120824223227/http://www.ut.ee:80/et	20120824223227"
"https://www.ut.ee/et	http://wayback.archive.org/web/20120831041649id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20120831041649/http://www.ut.ee:80/et	20120831041649"
"https://www.ut.ee/et	http://wayback.archive.org/web/20120905145927id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20120905145927/http://www.ut.ee:80/et	20120905145927"
"https://www.ut.ee/et	http://wayback.archive.org/web/20120910160057id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20120910160057/http://www.ut.ee:80/et	20120910160057"
"https://www.ut.ee/et	http://wayback.archive.org/web/20120915084649id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20120915084649/http://www.ut.ee:80/et	20120915084649"
"https://www.ut.ee/et	http://wayback.archive.org/web/20120920075600id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20120920075600/http://www.ut.ee:80/et	20120920075600"
